"","Combination.label","First.ad","Second.ad","Third.ad","Fourth.ad","Probability.of.combination","Ordered.combination","row"
"852","c429","H3N4_T","H4N3_T","H1N1_T","H2N2_T","P(c429 | G=T)=1/576","H3N4_T, H4N3_T, H1N1_T, H2N2_T",352
"1270","c76","H1N3_T","H2N1_T","H4N4_T","H3N2_T","P(c76 | G=T)=1/576","H1N3_T, H2N1_T, H4N4_T, H3N2_T",353
"811","c409","H3N4_T","H2N1_T","H1N2_T","H4N3_T","P(c409 | G=T)=1/576","H3N4_T, H2N1_T, H1N2_T, H4N3_T",354
"1210","c576","H4N4_T","H3N3_T","H2N2_T","H1N1_T","P(c576 | G=T)=1/576","H4N4_T, H3N3_T, H2N2_T, H1N1_T",355
"1124","c544","H4N4_T","H1N1_T","H3N3_T","H2N2_T","P(c544 | G=T)=1/576","H4N4_T, H1N1_T, H3N3_T, H2N2_T",356
"638","c342","H3N2_T","H2N3_T","H1N4_T","H4N1_T","P(c342 | G=T)=1/576","H3N2_T, H2N3_T, H1N4_T, H4N1_T",357
"835","c422","H3N4_T","H4N1_T","H1N3_T","H2N2_T","P(c422 | G=T)=1/576","H3N4_T, H4N1_T, H1N3_T, H2N2_T",358
"476","c281","H2N4_T","H4N2_T","H1N1_T","H3N3_T","P(c281 | G=T)=1/576","H2N4_T, H4N2_T, H1N1_T, H3N3_T",359
"888","c443","H4N1_T","H1N4_T","H3N2_T","H2N3_T","P(c443 | G=T)=1/576","H4N1_T, H1N4_T, H3N2_T, H2N3_T",360
"285","c2","H1N1_T","H2N2_T","H3N4_T","H4N3_T","P(c2 | G=T)=1/576","H1N1_T, H2N2_T, H3N4_T, H4N3_T",361
"582","c322","H3N1_T","H4N4_T","H1N3_T","H2N2_T","P(c322 | G=T)=1/576","H3N1_T, H4N4_T, H1N3_T, H2N2_T",362
"440","c266","H2N4_T","H3N1_T","H1N3_T","H4N2_T","P(c266 | G=T)=1/576","H2N4_T, H3N1_T, H1N3_T, H4N2_T",363
"253","c190","H2N2_T","H1N4_T","H3N3_T","H4N1_T","P(c190 | G=T)=1/576","H2N2_T, H1N4_T, H3N3_T, H4N1_T",364
"981","c482","H4N2_T","H2N1_T","H1N4_T","H3N3_T","P(c482 | G=T)=1/576","H4N2_T, H2N1_T, H1N4_T, H3N3_T",365
"1173","c564","H4N4_T","H2N3_T","H3N2_T","H1N1_T","P(c564 | G=T)=1/576","H4N4_T, H2N3_T, H3N2_T, H1N1_T",366
"744","c381","H3N3_T","H2N4_T","H1N1_T","H4N2_T","P(c381 | G=T)=1/576","H3N3_T, H2N4_T, H1N1_T, H4N2_T",367
"98","c135","H1N4_T","H4N1_T","H3N2_T","H2N3_T","P(c135 | G=T)=1/576","H1N4_T, H4N1_T, H3N2_T, H2N3_T",368
"953","c472","H4N2_T","H1N1_T","H3N4_T","H2N3_T","P(c472 | G=T)=1/576","H4N2_T, H1N1_T, H3N4_T, H2N3_T",369
"825","c418","H3N4_T","H2N3_T","H1N2_T","H4N1_T","P(c418 | G=T)=1/576","H3N4_T, H2N3_T, H1N2_T, H4N1_T",370
"1171","c563","H4N4_T","H2N3_T","H3N1_T","H1N2_T","P(c563 | G=T)=1/576","H4N4_T, H2N3_T, H3N1_T, H1N2_T",371
"148","c153","H2N1_T","H1N4_T","H3N2_T","H4N3_T","P(c153 | G=T)=1/576","H2N1_T, H1N4_T, H3N2_T, H4N3_T",372
"1038","c507","H4N3_T","H1N1_T","H3N2_T","H2N4_T","P(c507 | G=T)=1/576","H4N3_T, H1N1_T, H3N2_T, H2N4_T",373
"480","c282","H2N4_T","H4N2_T","H1N3_T","H3N1_T","P(c282 | G=T)=1/576","H2N4_T, H4N2_T, H1N3_T, H3N1_T",374
"210","c176","H2N1_T","H4N3_T","H3N4_T","H1N2_T","P(c176 | G=T)=1/576","H2N1_T, H4N3_T, H3N4_T, H1N2_T",375
"348","c228","H2N3_T","H1N4_T","H4N2_T","H3N1_T","P(c228 | G=T)=1/576","H2N3_T, H1N4_T, H4N2_T, H3N1_T",376
"872","c438","H4N1_T","H1N3_T","H2N4_T","H3N2_T","P(c438 | G=T)=1/576","H4N1_T, H1N3_T, H2N4_T, H3N2_T",377
"1221","c59","H1N2_T","H3N4_T","H4N1_T","H2N3_T","P(c59 | G=T)=1/576","H1N2_T, H3N4_T, H4N1_T, H2N3_T",378
"391","c243","H2N3_T","H4N1_T","H3N2_T","H1N4_T","P(c243 | G=T)=1/576","H2N3_T, H4N1_T, H3N2_T, H1N4_T",379
"733","c379","H3N3_T","H2N2_T","H4N1_T","H1N4_T","P(c379 | G=T)=1/576","H3N3_T, H2N2_T, H4N1_T, H1N4_T",380
"196","c171","H2N1_T","H4N2_T","H3N3_T","H1N4_T","P(c171 | G=T)=1/576","H2N1_T, H4N2_T, H3N3_T, H1N4_T",381
"62","c119","H1N4_T","H2N3_T","H4N1_T","H3N2_T","P(c119 | G=T)=1/576","H1N4_T, H2N3_T, H4N1_T, H3N2_T",382
"281","c2","H1N1_T","H2N2_T","H3N4_T","H4N3_T","P(c2 | G=T)=1/576","H1N1_T, H2N2_T, H3N4_T, H4N3_T",383
"1232","c63","H1N2_T","H4N1_T","H3N3_T","H2N4_T","P(c63 | G=T)=1/576","H1N2_T, H4N1_T, H3N3_T, H2N4_T",384
"70","c124","H1N4_T","H3N1_T","H4N3_T","H2N2_T","P(c124 | G=T)=1/576","H1N4_T, H3N1_T, H4N3_T, H2N2_T",385
"1239","c67","H1N2_T","H4N3_T","H3N1_T","H2N4_T","P(c67 | G=T)=1/576","H1N2_T, H4N3_T, H3N1_T, H2N4_T",386
"777","c396","H3N3_T","H4N4_T","H2N2_T","H1N1_T","P(c396 | G=T)=1/576","H3N3_T, H4N4_T, H2N2_T, H1N1_T",387
"38","c112","H1N4_T","H2N1_T","H4N3_T","H3N2_T","P(c112 | G=T)=1/576","H1N4_T, H2N1_T, H4N3_T, H3N2_T",388
"1188","c568","H4N4_T","H3N1_T","H2N3_T","H1N2_T","P(c568 | G=T)=1/576","H4N4_T, H3N1_T, H2N3_T, H1N2_T",389
"1133","c546","H4N4_T","H1N2_T","H2N3_T","H3N1_T","P(c546 | G=T)=1/576","H4N4_T, H1N2_T, H2N3_T, H3N1_T",390
"787","c399","H3N4_T","H1N1_T","H4N2_T","H2N3_T","P(c399 | G=T)=1/576","H3N4_T, H1N1_T, H4N2_T, H2N3_T",391
"844","c427","H3N4_T","H4N2_T","H2N1_T","H1N3_T","P(c427 | G=T)=1/576","H3N4_T, H4N2_T, H2N1_T, H1N3_T",392
"834","c422","H3N4_T","H4N1_T","H1N3_T","H2N2_T","P(c422 | G=T)=1/576","H3N4_T, H4N1_T, H1N3_T, H2N2_T",393
"727","c376","H3N3_T","H2N1_T","H4N4_T","H1N2_T","P(c376 | G=T)=1/576","H3N3_T, H2N1_T, H4N4_T, H1N2_T",394
"1314","c97","H1N3_T","H4N1_T","H2N2_T","H3N4_T","P(c97 | G=T)=1/576","H1N3_T, H4N1_T, H2N2_T, H3N4_T",395
"1092","c532","H4N3_T","H3N1_T","H2N4_T","H1N2_T","P(c532 | G=T)=1/576","H4N3_T, H3N1_T, H2N4_T, H1N2_T",396
"591","c326","H3N2_T","H1N1_T","H2N4_T","H4N3_T","P(c326 | G=T)=1/576","H3N2_T, H1N1_T, H2N4_T, H4N3_T",397
"552","c310","H3N1_T","H2N4_T","H1N3_T","H4N2_T","P(c310 | G=T)=1/576","H3N1_T, H2N4_T, H1N3_T, H4N2_T",398
"31","c11","H1N1_T","H2N4_T","H4N2_T","H3N3_T","P(c11 | G=T)=1/576","H1N1_T, H2N4_T, H4N2_T, H3N3_T",399
"308","c212","H2N2_T","H4N3_T","H3N4_T","H1N1_T","P(c212 | G=T)=1/576","H2N2_T, H4N3_T, H3N4_T, H1N1_T",400
"779","c396","H3N3_T","H4N4_T","H2N2_T","H1N1_T","P(c396 | G=T)=1/576","H3N3_T, H4N4_T, H2N2_T, H1N1_T",401
"384","c240","H2N3_T","H3N4_T","H4N2_T","H1N1_T","P(c240 | G=T)=1/576","H2N3_T, H3N4_T, H4N2_T, H1N1_T",402
"870","c437","H4N1_T","H1N3_T","H2N2_T","H3N4_T","P(c437 | G=T)=1/576","H4N1_T, H1N3_T, H2N2_T, H3N4_T",403
"897","c447","H4N1_T","H2N2_T","H3N3_T","H1N4_T","P(c447 | G=T)=1/576","H4N1_T, H2N2_T, H3N3_T, H1N4_T",404
"613","c331","H3N2_T","H1N3_T","H4N1_T","H2N4_T","P(c331 | G=T)=1/576","H3N2_T, H1N3_T, H4N1_T, H2N4_T",405
"28","c109","H1N4_T","H2N1_T","H3N2_T","H4N3_T","P(c109 | G=T)=1/576","H1N4_T, H2N1_T, H3N2_T, H4N3_T",406
"867","c437","H4N1_T","H1N3_T","H2N2_T","H3N4_T","P(c437 | G=T)=1/576","H4N1_T, H1N3_T, H2N2_T, H3N4_T",407
"1118","c54","H1N2_T","H3N3_T","H2N4_T","H4N1_T","P(c54 | G=T)=1/576","H1N2_T, H3N3_T, H2N4_T, H4N1_T",408
"683","c359","H3N2_T","H4N4_T","H2N1_T","H1N3_T","P(c359 | G=T)=1/576","H3N2_T, H4N4_T, H2N1_T, H1N3_T",409
"383","c240","H2N3_T","H3N4_T","H4N2_T","H1N1_T","P(c240 | G=T)=1/576","H2N3_T, H3N4_T, H4N2_T, H1N1_T",410
"899","c448","H4N1_T","H2N2_T","H3N4_T","H1N3_T","P(c448 | G=T)=1/576","H4N1_T, H2N2_T, H3N4_T, H1N3_T",411
"943","c466","H4N1_T","H3N4_T","H1N3_T","H2N2_T","P(c466 | G=T)=1/576","H4N1_T, H3N4_T, H1N3_T, H2N2_T",412
"1161","c558","H4N4_T","H2N2_T","H1N3_T","H3N1_T","P(c558 | G=T)=1/576","H4N4_T, H2N2_T, H1N3_T, H3N1_T",413
"72","c125","H1N4_T","H3N2_T","H2N1_T","H4N3_T","P(c125 | G=T)=1/576","H1N4_T, H3N2_T, H2N1_T, H4N3_T",414
"1025","c500","H4N2_T","H3N3_T","H2N4_T","H1N1_T","P(c500 | G=T)=1/576","H4N2_T, H3N3_T, H2N4_T, H1N1_T",415
"386","c241","H2N3_T","H4N1_T","H1N2_T","H3N4_T","P(c241 | G=T)=1/576","H2N3_T, H4N1_T, H1N2_T, H3N4_T",416
"525","c296","H3N1_T","H1N3_T","H4N4_T","H2N2_T","P(c296 | G=T)=1/576","H3N1_T, H1N3_T, H4N4_T, H2N2_T",417
"895","c447","H4N1_T","H2N2_T","H3N3_T","H1N4_T","P(c447 | G=T)=1/576","H4N1_T, H2N2_T, H3N3_T, H1N4_T",418
"1274","c77","H1N3_T","H2N2_T","H3N1_T","H4N4_T","P(c77 | G=T)=1/576","H1N3_T, H2N2_T, H3N1_T, H4N4_T",419
"378","c238","H2N3_T","H3N4_T","H1N2_T","H4N1_T","P(c238 | G=T)=1/576","H2N3_T, H3N4_T, H1N2_T, H4N1_T",420
"747","c382","H3N3_T","H2N4_T","H1N2_T","H4N1_T","P(c382 | G=T)=1/576","H3N3_T, H2N4_T, H1N2_T, H4N1_T",421
"1067","c523","H4N3_T","H2N2_T","H3N1_T","H1N4_T","P(c523 | G=T)=1/576","H4N3_T, H2N2_T, H3N1_T, H1N4_T",422
"279","c199","H2N2_T","H3N3_T","H4N1_T","H1N4_T","P(c199 | G=T)=1/576","H2N2_T, H3N3_T, H4N1_T, H1N4_T",423
"1228","c61","H1N2_T","H4N1_T","H2N3_T","H3N4_T","P(c61 | G=T)=1/576","H1N2_T, H4N1_T, H2N3_T, H3N4_T",424
"1113","c538","H4N3_T","H3N4_T","H1N2_T","H2N1_T","P(c538 | G=T)=1/576","H4N3_T, H3N4_T, H1N2_T, H2N1_T",425
"55","c116","H1N4_T","H2N2_T","H4N3_T","H3N1_T","P(c116 | G=T)=1/576","H1N4_T, H2N2_T, H4N3_T, H3N1_T",426
"577","c32","H1N1_T","H4N3_T","H3N4_T","H2N2_T","P(c32 | G=T)=1/576","H1N1_T, H4N3_T, H3N4_T, H2N2_T",427
"399","c246","H2N3_T","H4N2_T","H1N4_T","H3N1_T","P(c246 | G=T)=1/576","H2N3_T, H4N2_T, H1N4_T, H3N1_T",428
"268","c196","H2N2_T","H3N1_T","H4N4_T","H1N3_T","P(c196 | G=T)=1/576","H2N2_T, H3N1_T, H4N4_T, H1N3_T",429
"166","c159","H2N1_T","H3N2_T","H4N3_T","H1N4_T","P(c159 | G=T)=1/576","H2N1_T, H3N2_T, H4N3_T, H1N4_T",430
"751","c383","H3N3_T","H2N4_T","H4N1_T","H1N2_T","P(c383 | G=T)=1/576","H3N3_T, H2N4_T, H4N1_T, H1N2_T",431
"905","c452","H4N1_T","H2N3_T","H3N4_T","H1N2_T","P(c452 | G=T)=1/576","H4N1_T, H2N3_T, H3N4_T, H1N2_T",432
"414","c254","H2N4_T","H1N1_T","H3N3_T","H4N2_T","P(c254 | G=T)=1/576","H2N4_T, H1N1_T, H3N3_T, H4N2_T",433
"1103","c536","H4N3_T","H3N2_T","H2N4_T","H1N1_T","P(c536 | G=T)=1/576","H4N3_T, H3N2_T, H2N4_T, H1N1_T",434
"162","c157","H2N1_T","H3N2_T","H1N3_T","H4N4_T","P(c157 | G=T)=1/576","H2N1_T, H3N2_T, H1N3_T, H4N4_T",435
"740","c380","H3N3_T","H2N2_T","H4N4_T","H1N1_T","P(c380 | G=T)=1/576","H3N3_T, H2N2_T, H4N4_T, H1N1_T",436
"328","c220","H2N3_T","H1N1_T","H4N4_T","H3N2_T","P(c220 | G=T)=1/576","H2N3_T, H1N1_T, H4N4_T, H3N2_T",437
"1117","c539","H4N3_T","H3N4_T","H2N1_T","H1N2_T","P(c539 | G=T)=1/576","H4N3_T, H3N4_T, H2N1_T, H1N2_T",438
"839","c424","H3N4_T","H4N1_T","H2N3_T","H1N2_T","P(c424 | G=T)=1/576","H3N4_T, H4N1_T, H2N3_T, H1N2_T",439
"631","c340","H3N2_T","H2N1_T","H4N4_T","H1N3_T","P(c340 | G=T)=1/576","H3N2_T, H2N1_T, H4N4_T, H1N3_T",440
"951","c470","H4N2_T","H1N1_T","H2N4_T","H3N3_T","P(c470 | G=T)=1/576","H4N2_T, H1N1_T, H2N4_T, H3N3_T",441
"1041","c509","H4N3_T","H1N2_T","H2N1_T","H3N4_T","P(c509 | G=T)=1/576","H4N3_T, H1N2_T, H2N1_T, H3N4_T",442
"856","c430","H3N4_T","H4N3_T","H1N2_T","H2N1_T","P(c430 | G=T)=1/576","H3N4_T, H4N3_T, H1N2_T, H2N1_T",443
"501","c290","H3N1_T","H1N2_T","H2N4_T","H4N3_T","P(c290 | G=T)=1/576","H3N1_T, H1N2_T, H2N4_T, H4N3_T",444
"1198","c570","H4N4_T","H3N2_T","H1N3_T","H2N1_T","P(c570 | G=T)=1/576","H4N4_T, H3N2_T, H1N3_T, H2N1_T",445
"579","c320","H3N1_T","H4N3_T","H2N4_T","H1N2_T","P(c320 | G=T)=1/576","H3N1_T, H4N3_T, H2N4_T, H1N2_T",446
"1037","c507","H4N3_T","H1N1_T","H3N2_T","H2N4_T","P(c507 | G=T)=1/576","H4N3_T, H1N1_T, H3N2_T, H2N4_T",447
"695","c364","H3N3_T","H1N1_T","H4N4_T","H2N2_T","P(c364 | G=T)=1/576","H3N3_T, H1N1_T, H4N4_T, H2N2_T",448
"670","c354","H3N2_T","H4N3_T","H1N4_T","H2N1_T","P(c354 | G=T)=1/576","H3N2_T, H4N3_T, H1N4_T, H2N1_T",449
"287","c20","H1N1_T","H3N3_T","H4N4_T","H2N2_T","P(c20 | G=T)=1/576","H1N1_T, H3N3_T, H4N4_T, H2N2_T",450
"126","c147","H2N1_T","H1N2_T","H4N3_T","H3N4_T","P(c147 | G=T)=1/576","H2N1_T, H1N2_T, H4N3_T, H3N4_T",451
"896","c447","H4N1_T","H2N2_T","H3N3_T","H1N4_T","P(c447 | G=T)=1/576","H4N1_T, H2N2_T, H3N3_T, H1N4_T",452
"1209","c575","H4N4_T","H3N3_T","H2N1_T","H1N2_T","P(c575 | G=T)=1/576","H4N4_T, H3N3_T, H2N1_T, H1N2_T",453
"1153","c554","H4N4_T","H2N1_T","H1N3_T","H3N2_T","P(c554 | G=T)=1/576","H4N4_T, H2N1_T, H1N3_T, H3N2_T",454
"864","c433","H4N1_T","H1N2_T","H2N3_T","H3N4_T","P(c433 | G=T)=1/576","H4N1_T, H1N2_T, H2N3_T, H3N4_T",455
"771","c392","H3N3_T","H4N2_T","H2N4_T","H1N1_T","P(c392 | G=T)=1/576","H3N3_T, H4N2_T, H2N4_T, H1N1_T",456
"116","c143","H1N4_T","H4N3_T","H3N1_T","H2N2_T","P(c143 | G=T)=1/576","H1N4_T, H4N3_T, H3N1_T, H2N2_T",457
"660","c350","H3N2_T","H4N1_T","H1N4_T","H2N3_T","P(c350 | G=T)=1/576","H3N2_T, H4N1_T, H1N4_T, H2N3_T",458
"614","c331","H3N2_T","H1N3_T","H4N1_T","H2N4_T","P(c331 | G=T)=1/576","H3N2_T, H1N3_T, H4N1_T, H2N4_T",459
"493","c29","H1N1_T","H4N3_T","H2N2_T","H3N4_T","P(c29 | G=T)=1/576","H1N1_T, H4N3_T, H2N2_T, H3N4_T",460
"314","c215","H2N2_T","H4N4_T","H3N1_T","H1N3_T","P(c215 | G=T)=1/576","H2N2_T, H4N4_T, H3N1_T, H1N3_T",461
"1054","c516","H4N3_T","H1N4_T","H3N2_T","H2N1_T","P(c516 | G=T)=1/576","H4N3_T, H1N4_T, H3N2_T, H2N1_T",462
"343","c226","H2N3_T","H1N4_T","H3N2_T","H4N1_T","P(c226 | G=T)=1/576","H2N3_T, H1N4_T, H3N2_T, H4N1_T",463
"532","c298","H3N1_T","H1N4_T","H2N3_T","H4N2_T","P(c298 | G=T)=1/576","H3N1_T, H1N4_T, H2N3_T, H4N2_T",464
"10","c101","H1N3_T","H4N2_T","H2N1_T","H3N4_T","P(c101 | G=T)=1/576","H1N3_T, H4N2_T, H2N1_T, H3N4_T",465
"37","c111","H1N4_T","H2N1_T","H4N2_T","H3N3_T","P(c111 | G=T)=1/576","H1N4_T, H2N1_T, H4N2_T, H3N3_T",466
"565","c315","H3N1_T","H4N2_T","H2N3_T","H1N4_T","P(c315 | G=T)=1/576","H3N1_T, H4N2_T, H2N3_T, H1N4_T",467
"346","c227","H2N3_T","H1N4_T","H4N1_T","H3N2_T","P(c227 | G=T)=1/576","H2N3_T, H1N4_T, H4N1_T, H3N2_T",468
"688","c361","H3N3_T","H1N1_T","H2N2_T","H4N4_T","P(c361 | G=T)=1/576","H3N3_T, H1N1_T, H2N2_T, H4N4_T",469
"610","c330","H3N2_T","H1N3_T","H2N4_T","H4N1_T","P(c330 | G=T)=1/576","H3N2_T, H1N3_T, H2N4_T, H4N1_T",470
"1286","c81","H1N3_T","H2N4_T","H3N1_T","H4N2_T","P(c81 | G=T)=1/576","H1N3_T, H2N4_T, H3N1_T, H4N2_T",471
"188","c167","H2N1_T","H3N4_T","H4N2_T","H1N3_T","P(c167 | G=T)=1/576","H2N1_T, H3N4_T, H4N2_T, H1N3_T",472
"3","c1","H1N1_T","H2N2_T","H3N3_T","H4N4_T","P(c1 | G=T)=1/576","H1N1_T, H2N2_T, H3N3_T, H4N4_T",473
"1149","c551","H4N4_T","H1N3_T","H3N1_T","H2N2_T","P(c551 | G=T)=1/576","H4N4_T, H1N3_T, H3N1_T, H2N2_T",474
"363","c231","H2N3_T","H3N1_T","H4N2_T","H1N4_T","P(c231 | G=T)=1/576","H2N3_T, H3N1_T, H4N2_T, H1N4_T",475
"1170","c563","H4N4_T","H2N3_T","H3N1_T","H1N2_T","P(c563 | G=T)=1/576","H4N4_T, H2N3_T, H3N1_T, H1N2_T",476
"524","c295","H3N1_T","H1N3_T","H4N2_T","H2N4_T","P(c295 | G=T)=1/576","H3N1_T, H1N3_T, H4N2_T, H2N4_T",477
"449","c270","H2N4_T","H3N2_T","H1N3_T","H4N1_T","P(c270 | G=T)=1/576","H2N4_T, H3N2_T, H1N3_T, H4N1_T",478
"823","c417","H3N4_T","H2N3_T","H1N1_T","H4N2_T","P(c417 | G=T)=1/576","H3N4_T, H2N3_T, H1N1_T, H4N2_T",479
"1287","c82","H1N3_T","H2N4_T","H3N2_T","H4N1_T","P(c82 | G=T)=1/576","H1N3_T, H2N4_T, H3N2_T, H4N1_T",480
"544","c302","H3N1_T","H2N2_T","H1N4_T","H4N3_T","P(c302 | G=T)=1/576","H3N1_T, H2N2_T, H1N4_T, H4N3_T",481
"583","c323","H3N1_T","H4N4_T","H2N2_T","H1N3_T","P(c323 | G=T)=1/576","H3N1_T, H4N4_T, H2N2_T, H1N3_T",482
"743","c381","H3N3_T","H2N4_T","H1N1_T","H4N2_T","P(c381 | G=T)=1/576","H3N3_T, H2N4_T, H1N1_T, H4N2_T",483
"316","c215","H2N2_T","H4N4_T","H3N1_T","H1N3_T","P(c215 | G=T)=1/576","H2N2_T, H4N4_T, H3N1_T, H1N3_T",484
"1280","c79","H1N3_T","H2N2_T","H4N1_T","H3N4_T","P(c79 | G=T)=1/576","H1N3_T, H2N2_T, H4N1_T, H3N4_T",485
"854","c43","H1N2_T","H2N3_T","H4N1_T","H3N4_T","P(c43 | G=T)=1/576","H1N2_T, H2N3_T, H4N1_T, H3N4_T",486
"877","c439","H4N1_T","H1N3_T","H3N2_T","H2N4_T","P(c439 | G=T)=1/576","H4N1_T, H1N3_T, H3N2_T, H2N4_T",487
"801","c405","H3N4_T","H1N3_T","H2N1_T","H4N2_T","P(c405 | G=T)=1/576","H3N4_T, H1N3_T, H2N1_T, H4N2_T",488
"882","c441","H4N1_T","H1N4_T","H2N2_T","H3N3_T","P(c441 | G=T)=1/576","H4N1_T, H1N4_T, H2N2_T, H3N3_T",489
"1306","c91","H1N3_T","H3N2_T","H4N1_T","H2N4_T","P(c91 | G=T)=1/576","H1N3_T, H3N2_T, H4N1_T, H2N4_T",490
"647","c346","H3N2_T","H2N4_T","H1N3_T","H4N1_T","P(c346 | G=T)=1/576","H3N2_T, H2N4_T, H1N3_T, H4N1_T",491
"879","c440","H4N1_T","H1N3_T","H3N4_T","H2N2_T","P(c440 | G=T)=1/576","H4N1_T, H1N3_T, H3N4_T, H2N2_T",492
"1071","c526","H4N3_T","H2N4_T","H1N2_T","H3N1_T","P(c526 | G=T)=1/576","H4N3_T, H2N4_T, H1N2_T, H3N1_T",493
"221","c178","H2N1_T","H4N4_T","H1N3_T","H3N2_T","P(c178 | G=T)=1/576","H2N1_T, H4N4_T, H1N3_T, H3N2_T",494
"735","c379","H3N3_T","H2N2_T","H4N1_T","H1N4_T","P(c379 | G=T)=1/576","H3N3_T, H2N2_T, H4N1_T, H1N4_T",495
"265","c195","H2N2_T","H3N1_T","H4N3_T","H1N4_T","P(c195 | G=T)=1/576","H2N2_T, H3N1_T, H4N3_T, H1N4_T",496
"653","c349","H3N2_T","H4N1_T","H1N3_T","H2N4_T","P(c349 | G=T)=1/576","H3N2_T, H4N1_T, H1N3_T, H2N4_T",497
"999","c49","H1N2_T","H3N1_T","H2N3_T","H4N4_T","P(c49 | G=T)=1/576","H1N2_T, H3N1_T, H2N3_T, H4N4_T",498
"654","c349","H3N2_T","H4N1_T","H1N3_T","H2N4_T","P(c349 | G=T)=1/576","H3N2_T, H4N1_T, H1N3_T, H2N4_T",499
"643","c344","H3N2_T","H2N3_T","H4N4_T","H1N1_T","P(c344 | G=T)=1/576","H3N2_T, H2N3_T, H4N4_T, H1N1_T",500
"762","c386","H3N3_T","H4N1_T","H1N4_T","H2N2_T","P(c386 | G=T)=1/576","H3N3_T, H4N1_T, H1N4_T, H2N2_T",501
"931","c462","H4N1_T","H3N3_T","H1N4_T","H2N2_T","P(c462 | G=T)=1/576","H4N1_T, H3N3_T, H1N4_T, H2N2_T",502
"1008","c493","H4N2_T","H3N1_T","H1N3_T","H2N4_T","P(c493 | G=T)=1/576","H4N2_T, H3N1_T, H1N3_T, H2N4_T",503
"497","c29","H1N1_T","H4N3_T","H2N2_T","H3N4_T","P(c29 | G=T)=1/576","H1N1_T, H4N3_T, H2N2_T, H3N4_T",504
"767","c389","H3N3_T","H4N2_T","H1N1_T","H2N4_T","P(c389 | G=T)=1/576","H3N3_T, H4N2_T, H1N1_T, H2N4_T",505
"996","c488","H4N2_T","H2N3_T","H3N4_T","H1N1_T","P(c488 | G=T)=1/576","H4N2_T, H2N3_T, H3N4_T, H1N1_T",506
"857","c430","H3N4_T","H4N3_T","H1N2_T","H2N1_T","P(c430 | G=T)=1/576","H3N4_T, H4N3_T, H1N2_T, H2N1_T",507
"966","c478","H4N2_T","H1N4_T","H2N3_T","H3N1_T","P(c478 | G=T)=1/576","H4N2_T, H1N4_T, H2N3_T, H3N1_T",508
"1264","c74","H1N3_T","H2N1_T","H3N4_T","H4N2_T","P(c74 | G=T)=1/576","H1N3_T, H2N1_T, H3N4_T, H4N2_T",509
"919","c458","H4N1_T","H3N2_T","H1N4_T","H2N3_T","P(c458 | G=T)=1/576","H4N1_T, H3N2_T, H1N4_T, H2N3_T",510
"294","c205","H2N2_T","H4N1_T","H1N3_T","H3N4_T","P(c205 | G=T)=1/576","H2N2_T, H4N1_T, H1N3_T, H3N4_T",511
"1138","c547","H4N4_T","H1N2_T","H3N1_T","H2N3_T","P(c547 | G=T)=1/576","H4N4_T, H1N2_T, H3N1_T, H2N3_T",512
"1104","c536","H4N3_T","H3N2_T","H2N4_T","H1N1_T","P(c536 | G=T)=1/576","H4N3_T, H3N2_T, H2N4_T, H1N1_T",513
"639","c342","H3N2_T","H2N3_T","H1N4_T","H4N1_T","P(c342 | G=T)=1/576","H3N2_T, H2N3_T, H1N4_T, H4N1_T",514
"1235","c64","H1N2_T","H4N1_T","H3N4_T","H2N3_T","P(c64 | G=T)=1/576","H1N2_T, H4N1_T, H3N4_T, H2N3_T",515
"907","c452","H4N1_T","H2N3_T","H3N4_T","H1N2_T","P(c452 | G=T)=1/576","H4N1_T, H2N3_T, H3N4_T, H1N2_T",516
"651","c347","H3N2_T","H2N4_T","H4N1_T","H1N3_T","P(c347 | G=T)=1/576","H3N2_T, H2N4_T, H4N1_T, H1N3_T",517
"1044","c51","H1N2_T","H3N1_T","H4N3_T","H2N4_T","P(c51 | G=T)=1/576","H1N2_T, H3N1_T, H4N3_T, H2N4_T",518
"734","c379","H3N3_T","H2N2_T","H4N1_T","H1N4_T","P(c379 | G=T)=1/576","H3N3_T, H2N2_T, H4N1_T, H1N4_T",519
"257","c192","H2N2_T","H1N4_T","H4N3_T","H3N1_T","P(c192 | G=T)=1/576","H2N2_T, H1N4_T, H4N3_T, H3N1_T",520
"980","c482","H4N2_T","H2N1_T","H1N4_T","H3N3_T","P(c482 | G=T)=1/576","H4N2_T, H2N1_T, H1N4_T, H3N3_T",521
"115","c143","H1N4_T","H4N3_T","H3N1_T","H2N2_T","P(c143 | G=T)=1/576","H1N4_T, H4N3_T, H3N1_T, H2N2_T",522
"306","c210","H2N2_T","H4N3_T","H1N4_T","H3N1_T","P(c210 | G=T)=1/576","H2N2_T, H4N3_T, H1N4_T, H3N1_T",523
"1094","c533","H4N3_T","H3N2_T","H1N1_T","H2N4_T","P(c533 | G=T)=1/576","H4N3_T, H3N2_T, H1N1_T, H2N4_T",524
"588","c325","H3N2_T","H1N1_T","H2N3_T","H4N4_T","P(c325 | G=T)=1/576","H3N2_T, H1N1_T, H2N3_T, H4N4_T",525
"941","c465","H4N1_T","H3N4_T","H1N2_T","H2N3_T","P(c465 | G=T)=1/576","H4N1_T, H3N4_T, H1N2_T, H2N3_T",526
"361","c23","H1N1_T","H3N4_T","H4N2_T","H2N3_T","P(c23 | G=T)=1/576","H1N1_T, H3N4_T, H4N2_T, H2N3_T",527
